ID,casrn,dtxsid,name,countgen,PODgen,PODgen GSD2total,PODgen GSD2final,Prob. RfDgen [mg/kg-d],HDM10%gen [mg/kg-d],HDM10%gen GSD2,countrd,PODrd,PODrd GSD2total,PODrd GSD2final,Prob. RfDrd [mg/kg-d],HDM10%rd [mg/kg-d],HDM10%rd GSD2
5135,67784-87-6,DTXSID5029396,"Glycerides, palm-oil mono- and di-, hydrogenated",6,5.82E+02,4.25,7.97,2.12E+00,1.67E+02,9.93,6,5.29E+02,3.86,11.77,1.50E+00,1.52E+02,14.20
5136,67786-25-8,DTXSID0029397,"Tetrasodium 4,4'-bis(4-(4-sulfophenylamino)-6-(bis(2-hydroxypropyl)amino)-s-triazin-2-yl)amino-2,2-stilbenedisulfonate",19,8.96E+01,2.01,7.97,9.78E-01,2.57E+01,9.93,16,1.99E+02,1.97,11.77,1.69E+00,5.69E+01,14.20
5137,67801-20-1,DTXSID7052369,"3-Methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)pent-4-en-2-ol",1,7.65E+01,17.22,17.22,5.00E-02,2.19E+01,20.29,4,2.58E+02,4.42,11.77,7.29E-01,7.39E+01,14.20
5138,67801-64-3,DTXSID6052376,2-tert-Butylcyclohexyl ethyl carbonate,,,,,,,,3,1.29E+02,5.06,11.77,1.09E-01,3.69E+01,14.20
5139,67827-72-9,DTXSID5044312,2-Methoxy-5-nitroaniline hydrochloride,,,,,,,,4,1.28E+02,4.33,11.77,3.62E-01,3.67E+01,14.20
5140,67828-72-2,DTXSID7070682,"C.I. Pigment Red 52, strontium salt",6,3.25E+01,4.38,7.97,1.18E-01,9.30E+00,9.93,8,5.86E+01,3.33,11.77,1.66E-01,1.68E+01,14.20
5141,678-39-7,DTXSID7029904,8:2 Fluorotelomer alcohol,230,1.66E+01,1.22,7.97,1.81E-01,4.75E+00,9.93,63,9.45E+01,1.36,11.77,8.02E-01,2.71E+01,14.20
5142,67845-93-6,DTXSID0052382,"Hexadecyl 3,5-di-tert-butyl-4-hydroxybenzoate",,,,,,,,3,1.79E+02,4.53,11.77,1.52E-01,5.12E+01,14.20
5143,67846-32-6,DTXSID001012123,"1,3-Benzenedicarboxylic acid, polymer with 2-(chloromethyl)oxirane and 1,3-isobenzofurandione",,,,,,,,2,7.44E+00,6.36,11.77,6.31E-03,2.13E+00,14.20
5144,67846-68-8,DTXSID0029399,"Ethanaminium, N,N-dimethyl-2-[(1-oxooctadecyl)oxy]-N-[2-[(1-oxooctadecyl)oxy]ethyl]-, chloride",,,,,,,,1,2.58E+02,13.94,13.94,1.95E-01,7.39E+01,16.63
5145,67859-51-2,DTXSID8028343,"Zincate(2-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, diammonium, (OC-6-21-)-",6,4.56E+01,4.32,7.97,1.66E-01,1.31E+01,9.93,8,7.00E+01,3.29,11.77,1.98E-01,2.01E+01,14.20
5146,67860-38-2,DTXSID10867368,"Ethanone, 1-(2-methyl-4-pyrimidinyl)-",1,1.91E-01,17.22,17.22,1.25E-04,5.48E-02,20.29,,,,,,,
5147,6786-83-0,DTXSID4064474,"alpha,alpha-bis[4-(Dimethylamino)phenyl]-4-(phenylamino)-1-naphthalenemethanol",1,3.19E+00,17.22,17.22,2.08E-03,9.13E-01,20.29,2,1.38E+01,6.18,11.77,1.17E-02,3.96E+00,14.20
5148,67874-37-7,DTXSID5070735,Diisotridecyl phenyl phosphite,,,,,,,,4,2.58E+02,4.18,11.77,7.29E-01,7.39E+01,14.20
5149,67874-71-9,DTXSID70890950,"Hexanoic acid, 2-ethyl-, bismuth(3+) salt (3:1)",5,5.04E+01,4.65,7.97,1.83E-01,1.44E+01,9.93,4,1.96E+02,4.10,11.77,5.54E-01,5.61E+01,14.20
5150,67874-72-0,DTXSID0044573,2-(2-Methylbutan-2-yl)cyclohexyl acetate,,,,,,,,5,9.04E+01,3.88,11.77,2.56E-01,2.59E+01,14.20
5151,67874-81-1,DTXSID90886996,"1H-3a,7-Methanoazulene, octahydro-6-methoxy-3,6,8,8-tetramethyl-, (3R,3aS,6R,7R,8aS)-",,,,,,,,6,8.13E+01,3.59,11.77,2.30E-01,2.33E+01,14.20
5152,67888-96-4,DTXSID50218113,"1,1'-Biphenyl, 2,2',4,5,5'-pentabromo-",1,7.02E-02,17.22,17.22,4.59E-05,2.01E-02,20.29,,,,,,,
5153,67889-00-3,DTXSID10987252,"2,2',3,3',4,4',5,5'-Octabromo-1,1'-biphenyl",1,7.02E-02,17.22,17.22,4.59E-05,2.01E-02,20.29,,,,,,,
5154,67891-79-6,DTXSID3028344,"Distillates, petroleum, heavy arom.",,,,,,,,1,1.29E+01,13.94,13.94,9.75E-03,3.69E+00,16.63
5155,67891-80-9,DTXSID8028345,"Distillates, petroleum, light arom.",,,,,,,,1,6.45E+00,13.94,13.94,4.88E-03,1.85E+00,16.63
5156,67905-17-3,DTXSID4070798,"Acetamide, N-[4-[(9,10-dihydro-4-hydroxy-9,10-dioxo-1-anthracenyl)amino]phenyl]-",1,3.82E+02,17.22,17.22,2.50E-01,1.10E+02,20.29,7,2.17E+02,3.33,11.77,6.14E-01,6.22E+01,14.20
5157,6790-58-5,DTXSID0047113,(-)-Ambroxide,,,,,,,,2,2.06E+02,6.39,11.77,1.75E-01,5.91E+01,14.20
5158,67914-60-7,DTXSID3057804,4-(4-Acetylpiperazin-4-yl)phenol,,,,,,,,3,3.87E+01,4.96,11.77,3.28E-02,1.11E+01,14.20
5159,67938-21-0,NODTXSID_67938-21-0,unnamed [67938-21-0],3,1.17E+02,5.93,7.97,1.28E-01,3.36E+01,9.93,1,5.16E+02,13.94,13.94,3.90E-01,1.48E+02,16.63
5160,67939-65-5,DTXSID9070876,"Methanaminium, N-[4-[bis[4-(dimethylamino)phenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, acetate",1,7.17E+01,17.22,17.22,4.69E-02,2.05E+01,20.29,8,1.27E+00,3.26,11.77,3.60E-03,3.65E-01,14.20
5161,67952-33-4,DTXSID10894472,"Boric acid (H3BO3), compd. with 2,2'-iminobis[ethanol]",2,1.91E+02,9.05,9.05,1.93E-01,5.48E+01,11.15,,,,,,,
5162,67952-65-2,DTXSID4047707,(Methylthio)methylpyrazine,1,7.65E-01,17.22,17.22,5.00E-04,2.19E-01,20.29,,,,,,,
5163,67953-76-8,DTXSID2028353,"Phosphonic acid, (1-hydroxyethylidene)bis-, potassium salt",3,1.36E+01,5.96,7.97,1.48E-02,3.90E+00,9.93,27,1.44E+02,1.59,11.77,1.22E+00,4.12E+01,14.20
5164,6798-03-4,DTXSID80904411,"Cuprate(2-), (mu-((7,7'-iminobis(3-((5-(aminosulfonyl)-2-hydroxyphenyl)azo)-4-hydroxy-2-naphthalenesulfonato))(6-)))di-, disodium",,,,,,,,8,1.98E+02,3.35,11.77,5.59E-01,5.67E+01,14.20
5165,67989-22-4,DTXSID8096241,"C.I. Basic Violet 1, molybdatephosphate",,,,,,,,2,2.58E+02,6.53,11.77,2.19E-01,7.39E+01,14.20
5166,67989-52-0,DTXSID00987403,"Fatty acids, C18-unsatd., dimers, polymers with bisphenol A and epichlorohydrin",2,6.04E+01,8.30,8.30,6.43E-02,1.73E+01,10.31,3,1.79E+02,5.06,11.77,1.52E-01,5.12E+01,14.20
5167,67989-88-2,DTXSID5049609,"Ethylenediaminetetraacetic acid, diammonium copper salt",1,9.56E+00,17.22,17.22,6.25E-03,2.74E+00,20.29,2,1.29E+02,5.75,11.77,1.09E-01,3.69E+01,14.20
5168,67990-05-0,DTXSID0070942,"2-Naphthalenecarboxamide, N-(5-chloro-2-methoxyphenyl)-3-hydroxy-4-[[2-methoxy-5-[(phenylamino)carbonyl]phenyl]azo]-",10,2.69E+02,2.57,7.97,2.93E+00,7.70E+01,9.93,3,2.58E+02,5.02,11.77,2.19E-01,7.39E+01,14.20
5169,68002-42-6,DTXSID501012966,"Phenol, 4,4'-(1-methylethylidene)bis-, polymer with 2-(chloromethyl)oxirane, reaction products with 2-methyl-1H-imidazole",2,6.04E+01,8.54,8.54,6.31E-02,1.73E+01,10.58,3,7.28E+01,4.90,11.77,6.17E-02,2.09E+01,14.20
5170,68002-54-0,DTXSID9096311,"Tall oil, compd. with ethanolamine",1,5.73E+01,17.22,17.22,3.75E-02,1.64E+01,20.29,6,1.41E+02,3.59,11.77,3.99E-01,4.05E+01,14.20
5171,68002-58-4,DTXSID2028357,"Quaternary ammonium compounds, di-C14-18-alkyldimethyl, Me sulfates",,,,,,,,4,6.45E+01,4.25,11.77,1.82E-01,1.85E+01,14.20
5172,68002-61-9,DTXSID9096313,"Quaternary ammonium compounds, (C16-18 and C18-unsatd. alkyl)trimethyl, chlorides",4,1.74E+01,5.88,7.97,6.32E-02,4.98E+00,9.93,2,1.97E+01,5.96,11.77,1.67E-02,5.65E+00,14.20
5173,68002-65-3,DTXSID1028360,"Nitriles, C16-18",1,9.56E+00,17.22,17.22,6.25E-03,2.74E+00,20.29,1,1.29E+01,13.94,13.94,9.75E-03,3.69E+00,16.63
5174,68002-70-0,DTXSID3042001,"Glycerides, C16-22",1,1.96E+03,17.22,17.22,1.28E+00,5.61E+02,20.29,,,,,,,
5175,68002-71-1,DTXSID4096316,"Glycerides, C16-18",1,1.96E+03,17.22,17.22,1.28E+00,5.61E+02,20.29,,,,,,,
5176,68002-78-8,NODTXSID_68002-78-8,"Fatty acids, C16-18 and C18 unsatd., triesters with trimethylolpropane",4,2.10E+02,5.24,7.97,7.63E-01,6.01E+01,9.93,,,,,,,
5177,68002-79-9,DTXSID1028362,"Fatty acids, C14-18 and C16-18-unsatd., triesters with trimethylolpropane",4,2.10E+02,5.54,7.97,7.63E-01,6.01E+01,9.93,,,,,,,
5178,68002-88-0,DTXSID50892199,(C16-C22)Alkylcarboxylic acid,1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,1,2.58E+02,13.94,13.94,1.95E-01,7.39E+01,16.63
5179,68003-46-3,DTXSID7070975,"Glycine, N-methyl-N-(1-oxododecyl)-, ammonium salt",2,1.74E+01,10.42,10.42,1.60E-02,5.00E+00,12.69,5,1.26E+02,4.06,11.77,3.56E-01,3.61E+01,14.20
5180,68015-77-0,DTXSID6070980,"Manganate(2-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, dipotassium, (OC-6-21)-",8,6.41E+01,3.66,7.97,2.33E-01,1.84E+01,9.93,8,7.00E+01,3.30,11.77,1.98E-01,2.01E+01,14.20
5181,680-31-9,DTXSID6020694,Hexamethylphosphoramide,5,3.99E-01,3.92,7.97,1.45E-03,1.14E-01,9.93,,,,,,,
5182,68037-01-4,DTXSID60895035,"1-Decene, homopolymer, hydrogenated",8,5.08E+02,3.72,7.97,1.85E+00,1.46E+02,9.93,1,2.58E+02,13.94,13.94,1.95E-01,7.39E+01,16.63
5183,68037-36-5,DTXSID501011463,"Copper, [29H,31H-phthalocyaninato(2-)-kN29,kN30,kN31,kN32]-, sulfonated",,,,,,,,2,8.15E+01,6.23,11.77,6.91E-02,2.34E+01,14.20
5184,68037-92-3,DTXSID30894474,"Amines, C16-22-alkyl",2,8.00E-01,9.43,9.43,7.84E-04,2.29E-01,11.58,11,1.00E+01,2.15,11.77,8.52E-02,2.88E+00,14.20
5185,68037-95-6,DTXSID6028369,"Amines, C16-18 and C18-unsatd. alkyl",2,1.09E+00,7.96,7.97,1.19E-03,3.12E-01,9.93,7,5.31E+00,3.47,11.77,1.50E-02,1.52E+00,14.20
5186,68037-96-7,NODTXSID_68037-96-7,"N,N-dimethyl-C16-18-(even numbered, C18 unsaturated)-alkyl-1-amines",8,9.68E+00,3.74,7.97,3.52E-02,2.77E+00,9.93,6,1.29E+01,3.56,11.77,3.66E-02,3.71E+00,14.20
5187,68-04-2,DTXSID2026363,Trisodium citrate,3,5.30E+02,7.21,7.97,5.78E-01,1.52E+02,9.93,,,,,,,
5188,68049-83-2,DTXSID2034205,Azafenidin,16,2.33E+00,2.19,7.97,2.54E-02,6.67E-01,9.93,10,2.32E+00,2.67,11.77,1.96E-02,6.64E-01,14.20
5189,68052-51-7,DTXSID5071046,"1-Butanaminium, N,N-dibutyl-N-ethyl-, ethyl sulfate",,,,,,,,5,2.07E+02,3.91,11.77,5.85E-01,5.93E+01,14.20
5190,68081-77-6,DTXSID5028372,"Benzene, polypropene derivs.",,,,,,,,1,1.29E+01,13.94,13.94,9.75E-03,3.69E+00,16.63
5191,68082-25-7,DTXSID0096641,"Fatty acids, C14-18 and C16-18-unsatd., compds. with triethanolamine",,,,,,,,2,2.58E+02,5.97,11.77,2.19E-01,7.39E+01,14.20
5192,68082-29-1,DTXSID0096645,"Fatty acids, C18-unsatd., dimers, polymers with tall-oil fatty acids and triethylenetetramine",,,,,,,,3,2.58E+02,5.47,11.77,2.19E-01,7.39E+01,14.20
5193,68083-38-5,DTXSID9071056,"Benzenesulfonic acid, 3-(4,5-dihydro-5-imino-3-methyl-1H-pyrazol-1-yl)-",,,,,,,,2,7.44E+01,6.42,11.77,6.31E-02,2.13E+01,14.20
5194,68083-58-9,DTXSID4052392,"1,3-Dimethyl-3-phenylbutyl acetate",2,3.82E+01,8.67,8.67,3.96E-02,1.10E+01,10.72,2,1.03E+02,6.59,11.77,8.75E-02,2.95E+01,14.20
5195,68085-85-8,DTXSID6023997,alpha-Cyhalothrin,19,6.81E-01,1.92,7.97,7.43E-03,1.95E-01,9.93,10,5.14E-01,2.72,11.77,4.36E-03,1.47E-01,14.20
5196,68092-28-4,DTXSID9049794,"Tall oil, compound with diethanolamine",3,7.75E+00,6.72,7.97,8.45E-03,2.22E+00,9.93,1,2.58E+02,13.94,13.94,1.95E-01,7.39E+01,16.63
5197,68092-29-5,DTXSID3096749,"Tall oil, compd. with triethanolamine",,,,,,,,2,4.69E+01,6.38,11.77,3.98E-02,1.34E+01,14.20
5198,68092-46-6,DTXSID00890943,"Benzoic acid, 3-methyl-, zinc salt (2:1)",1,6.03E+00,17.22,17.22,3.94E-03,1.73E+00,20.29,4,2.02E+01,4.43,11.77,5.70E-02,5.78E+00,14.20
5199,68092-47-7,DTXSID60890944,"Benzoic acid, 3-methyl-, barium salt (2:1)",,,,,,,,2,2.58E+02,6.35,11.77,2.19E-01,7.39E+01,14.20
5200,68109-88-6,DTXSID40904412,"2-Butenedioic acid, 1,1'-(dioctylstannylene) 4,4'-diethyl ester",1,9.56E-01,17.22,17.22,6.25E-04,2.74E-01,20.29,2,7.73E-02,5.72,11.77,6.56E-05,2.22E-02,14.20
5201,68-11-1,DTXSID8026141,Thioglycolic acid,13,4.74E+00,2.45,7.97,5.17E-02,1.36E+00,9.93,12,8.45E+00,2.08,11.77,7.17E-02,2.42E+00,14.20
5202,68-12-2,DTXSID6020515,"N,N-Dimethylformamide",16,3.66E+01,1.94,7.97,3.99E-01,1.05E+01,9.93,13,6.77E+01,2.22,11.77,5.74E-01,1.94E+01,14.20
5203,68122-86-1,DTXSID7029407,"Imidazolium compounds, 4,5-dihydro-1-methyl-2-nortallow alkyl-1-(2-tallow amidoethyl), Me sulfates",3,1.45E+02,7.37,7.97,1.58E-01,4.16E+01,9.93,2,3.53E+02,6.00,11.77,2.99E-01,1.01E+02,14.20
5204,68123-13-7,DTXSID60874042,Basic Blue 99,1,1.19E+01,17.22,17.22,7.81E-03,3.42E+00,20.29,3,1.29E+01,5.04,11.77,1.09E-02,3.69E+00,14.20
5205,68130-25-6,DTXSID00987605,2-{[(2-Ethylhexanoyl)oxy]methyl}-3-hydroxy-2-(hydroxymethyl)propyl decanoate,,,,,,,,2,2.58E+02,6.67,11.77,2.19E-01,7.39E+01,14.20
5206,68130-51-8,DTXSID9028380,"Decanoic acid, mixed esters with heptanoic acid, isovaleric acid, octanoic acid and pentaerythritol",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,4,2.58E+02,4.15,11.77,7.29E-01,7.39E+01,14.20
5207,68130-53-0,DTXSID4028381,"Decanoic acid, mixed esters with heptanoic acid, octanoic acid and trimethylolpropane",3,2.16E+02,6.05,7.97,2.36E-01,6.20E+01,9.93,6,2.58E+02,3.54,11.77,7.29E-01,7.39E+01,14.20
5208,68131-04-4,DTXSID9028382,"Humic acids, sodium salts",8,4.29E+01,3.92,7.97,1.56E-01,1.23E+01,9.93,7,1.81E+02,3.39,11.77,5.11E-01,5.18E+01,14.20
5209,68131-13-5,DTXSID9028384,"Naphthenic acids, reaction products with diethylenetriamine",2,4.68E+00,9.44,9.44,4.59E-03,1.34E+00,11.59,6,2.74E+01,3.43,11.77,7.75E-02,7.85E+00,14.20
5210,68131-39-5,DTXSID5041932,"Alcohols, C12-15, ethoxylated",12,1.09E+02,2.36,7.97,1.19E+00,3.12E+01,9.93,,,,,,,
5211,68131-40-8,DTXSID3034325,C11-15-Secondary alcohols ethoxylated,,,,,,,,2,7.73E+01,6.41,11.77,6.56E-02,2.22E+01,14.20
5212,68131-72-6,DTXSID4028387,"Polyphosphoric acids, esters with triethanolamine, sodium salts",,,,,,,,10,3.68E+02,2.26,11.77,3.12E+00,1.05E+02,14.20
5213,68131-73-7,DTXSID7096913,Polyethylenepolyamine,8,1.26E+01,3.82,7.97,4.60E-02,3.62E+00,9.93,5,9.27E+01,3.97,11.77,2.62E-01,2.66E+01,14.20
5214,68132-46-7,DTXSID3028390,"Fatty acids, tall-oil, compds. with triethanolamine",2,1.62E+03,8.60,8.60,1.69E+00,4.65E+02,10.65,4,2.19E+03,4.01,11.77,6.18E+00,6.27E+02,14.20
5215,68133-60-8,DTXSID90893605,1-Benzyl-3-carboxypyridinium chloride sodium salt,2,1.05E+02,8.09,8.09,1.13E-01,3.00E+01,10.07,3,2.58E+02,5.28,11.77,2.19E-01,7.39E+01,14.20
5216,68133-90-4,DTXSID80987628,Platinum(4+) hydroxide--2-aminoethan-1-ol--water (1/4/2/2),1,1.15E+02,17.22,17.22,7.50E-02,3.29E+01,20.29,3,2.58E+02,5.62,11.77,2.19E-01,7.39E+01,14.20
5217,68134-22-5,DTXSID50867488,"Butanamide, N-(2,3-dihydro-2-oxo-1H-benzimidazol-5-yl)-3-oxo-2-[2-[2-(trifluoromethyl)phenyl]diazenyl]-",5,1.05E+03,4.89,7.97,3.82E+00,3.01E+02,9.93,11,2.58E+02,3.18,11.77,2.19E+00,7.39E+01,14.20
5218,68139-94-6,DTXSID4097095,"Amines, tallow alkyl, dodecylbenzenesulfonates",1,2.91E+02,17.22,17.22,1.90E-01,8.33E+01,20.29,,,,,,,
5219,68140-00-1,DTXSID8028391,"Amides, coco, N-(hydroxyethyl)",1,1.43E+02,17.22,17.22,9.37E-02,4.11E+01,20.29,,,,,,,
5220,68140-14-7,DTXSID6097104,"Tall oil, reaction products with diethylenetriamine",1,1.91E+00,17.22,17.22,1.25E-03,5.48E-01,20.29,6,2.19E+01,3.78,11.77,6.19E-02,6.27E+00,14.20
5221,68152-93-2,DTXSID5097169,"Tall oil, maleated",,,,,,,,4,1.03E+02,3.97,11.77,2.92E-01,2.95E+01,14.20
5222,68153-22-0,DTXSID8028397,"Paraffin waxes and Hydrocarbon waxes, oxidized",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,5,2.07E+02,3.71,11.77,5.85E-01,5.93E+01,14.20
5223,68153-38-8,DTXSID6029412,"Resin acids and Rosin acids, esters with diethylene glycol",1,9.56E+00,17.22,17.22,6.25E-03,2.74E+00,20.29,,,,,,,
5224,68154-62-1,DTXSID5097298,"Fatty acids, C18-unsatd., dimers, polymers with oleic acid and triethylenetetramine",2,1.91E+02,8.91,8.91,1.94E-01,5.48E+01,10.99,1,2.58E+02,13.94,13.94,1.95E-01,7.39E+01,16.63
5225,68155-09-9,DTXSID6029416,"Amides, coco, N-[3-(dimethylamino)propyl], N-oxides",,,,,,,,1,2.58E+01,13.94,13.94,1.95E-02,7.39E+00,16.63
5226,68155-27-1,NODTXSID_68155-27-1,C12-18-(even numbered)-alkylamines,2,1.09E+00,7.54,7.97,1.19E-03,3.12E-01,9.93,2,3.22E+00,6.17,11.77,2.73E-03,9.23E-01,14.20
5227,68155-37-3,DTXSID6048048,N-C12-18-Alkyltrimethylenediamines,2,7.65E-02,8.79,8.79,7.85E-05,2.19E-02,10.85,,,,,,,
5228,68157-60-8,DTXSID1034634,Forchlorfenuron,19,8.96E+00,1.99,7.97,9.78E-02,2.57E+00,9.93,9,1.45E+01,3.28,11.77,4.09E-02,4.15E+00,14.20
5229,68171-33-5,DTXSID5071206,Isopropyl isostearate,3,1.24E+02,6.12,7.97,1.36E-01,3.56E+01,9.93,3,1.50E+03,5.05,11.77,1.27E+00,4.31E+02,14.20
5230,68171-38-0,DTXSID601015056,"Isooctadecanoic acid, monoester with 1,2-propanediol",,,,,,,,7,3.17E+02,3.65,11.77,8.95E-01,9.07E+01,14.20
5231,68183-39-1,NODTXSID_68183-39-1,"Benzene-1,2,4-tricarboxylic acid 1,2-anhydride, oligomeric reaction products with ethane-1,2-diol and glycerol",1,1.91E+01,17.22,17.22,1.25E-02,5.48E+00,20.29,3,1.73E+02,4.71,11.77,1.46E-01,4.95E+01,14.20
5232,6818-37-7,DTXSID40987684,"2,2'-({3-[(2-Hydroxyethyl)(octadecyl)amino]propyl}azanediyl)di(ethan-1-ol)--hydrogen fluoride (1/2)",4,8.23E-01,4.64,7.97,3.00E-03,2.36E-01,9.93,21,9.23E+00,1.69,11.77,7.83E-02,2.64E+00,14.20
5233,681-84-5,DTXSID3027291,Tetramethyl orthosilicate,,,,,,,,3,5.55E+00,5.22,11.77,4.71E-03,1.59E+00,14.20
5234,68186-14-1,DTXSID0028406,"Resin acids and Rosin acids, Me esters",2,3.43E+01,8.58,8.58,3.57E-02,9.83E+00,10.62,,,,,,,
5235,68186-45-8,DTXSID10893809,"Phosphoric acid, decyl octyl ester",,,,,,,,3,1.29E+02,4.92,11.77,1.09E-01,3.69E+01,14.20
5236,68186-85-6,DTXSID0097372,C.I. Pigment Green 50,2,1.28E+02,8.43,8.43,1.35E-01,3.67E+01,10.45,2,2.58E+02,6.14,11.77,2.19E-01,7.39E+01,14.20
5237,68186-90-3,DTXSID4029779,C.I. Pigment Brown 24,3,9.56E+01,6.54,7.97,1.04E-01,2.74E+01,9.93,8,2.03E+02,3.25,11.77,5.75E-01,5.83E+01,14.20
5238,68186-92-5,DTXSID0097376,C.I. Pigment Yellow 163,3,1.16E+02,6.38,7.97,1.27E-01,3.33E+01,9.93,3,2.05E+02,4.96,11.77,1.74E-01,5.86E+01,14.20
5239,68186-94-7,DTXSID1029419,C.I. Pigment Black 26,1,6.37E+01,17.22,17.22,4.17E-02,1.83E+01,20.29,,,,,,,
5240,68187-30-4,DTXSID50891960,"l-Glutamic acid, N-coco acyl derivs., disodium salts",2,2.29E+02,8.15,8.15,2.47E-01,6.57E+01,10.13,3,3.58E+02,5.08,11.77,3.03E-01,1.02E+02,14.20
5241,68187-32-6,DTXSID10891961,"L-Glutamic acid, N-coco acyl derivs., monosodium salts",2,4.66E+01,11.48,11.48,4.02E-02,1.34E+01,13.88,3,8.22E+01,5.11,11.77,6.97E-02,2.36E+01,14.20
5242,68187-51-9,DTXSID0029420,C.I. Pigment Yellow 119,1,2.87E+02,17.22,17.22,1.87E-01,8.22E+01,20.29,,,,,,,
5243,68187-58-6,DTXSID4028410,Aromatic petroleum pitch,2,5.53E+01,8.68,8.68,5.72E-02,1.58E+01,10.73,,,,,,,
5244,68187-76-8,DTXSID4028414,"Castor oil, sulfated, sodium salt",4,4.60E+02,5.29,7.97,1.67E+00,1.32E+02,9.93,11,2.58E+02,3.07,11.77,2.19E+00,7.39E+01,14.20
5245,68187-80-4,DTXSID9097416,"Rape oil, reaction products with diethanolamine",2,3.70E+01,9.70,9.70,3.57E-02,1.06E+01,11.87,,,,,,,
5246,68187-84-8,DTXSID9028415,"Castor oil, oxidized",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,2,2.58E+02,6.08,11.77,2.19E-01,7.39E+01,14.20
5247,68187-85-9,DTXSID0049739,Polyethylene glycol ester with tall oil fatty acid,,,,,,,,4,2.45E+02,4.47,11.77,6.91E-01,7.01E+01,14.20
5248,68187-91-7,DTXSID3097422,"Fats and Glyceridic oils, fish, sulfated, ammonium salts",,,,,,,,2,2.58E+02,6.38,11.77,2.19E-01,7.39E+01,14.20
5249,68188-18-1,DTXSID9028417,"Paraffin oils, chlorosulfonated, saponified",3,4.12E+01,6.37,7.97,4.49E-02,1.18E+01,9.93,1,1.29E+02,13.94,13.94,9.75E-02,3.69E+01,16.63
5250,68189-39-9,DTXSID8071227,"2-Naphthalenesulfonic acid, 7-(acetylamino)-4-hydroxy-3-[[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]azo]-",,,,,,,,3,9.92E+01,4.75,11.77,8.42E-02,2.84E+01,14.20
5251,68-19-9,DTXSID7044346,Vitamin B12,1,2.01E+02,17.22,17.22,1.32E-01,5.77E+01,20.29,,,,,,,
5252,68201-32-1,DTXSID9028419,"Asphalt, sulfonated, sodium salt",4,9.04E+01,5.38,7.97,3.29E-01,2.59E+01,9.93,7,2.20E+02,3.55,11.77,6.23E-01,6.31E+01,14.20
5253,68201-37-6,DTXSID0029424,"Octadecanoic acid, branched and linear",2,3.68E+02,8.61,8.61,3.83E-01,1.05E+02,10.65,1,4.36E+02,13.94,13.94,3.30E-01,1.25E+02,16.63
5254,68201-60-5,DTXSID1097529,"Resin acids and Rosin acids, maleated, sodium salts",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
5255,682-01-9,DTXSID9042382,Tetrapropyl orthosilicate,3,9.56E+00,6.17,7.97,1.04E-02,2.74E+00,9.93,3,1.40E+01,4.77,11.77,1.18E-02,4.00E+00,14.20
5256,68201-95-6,DTXSID70889945,"2-Naphthalenesulfonic acid, 7-[[4,6-bis[(2-hydroxyethyl)amino]-1,3,5-triazin-2-yl]amino]-4-hydroxy-3-[2-[4-[2-(4-sulfophenyl)diazenyl]phenyl]diazenyl]-, sodium salt (1:2)",,,,,,,,2,2.58E+02,6.79,11.77,2.19E-01,7.39E+01,14.20
5257,682-09-7,DTXSID7044976,"2,2-Bis[(prop-2-en-1-yloxy)methyl]butan-1-ol",10,4.10E+01,2.70,7.97,4.48E-01,1.18E+01,9.93,2,5.16E+01,5.95,11.77,4.37E-02,1.48E+01,14.20
5258,682-11-1,DTXSID5052674,2-Allyloxymethyl-2-ethylpropanediol,9,1.95E+01,3.74,7.97,7.10E-02,5.60E+00,9.93,2,5.16E+01,6.15,11.77,4.37E-02,1.48E+01,14.20
5259,68214-04-0,DTXSID50889948,"2,7-Naphthalenedisulfonic acid, 4,4'-[1,4-phenylenebis[imino(6-chloro-1,3,5-triazine-4,2-diyl)imino]]bis[5-hydroxy-6-[2-(2-sulfophenyl)diazenyl]-, sodium salt (1:6)",,,,,,,,2,9.11E+01,6.28,11.77,7.73E-02,2.61E+01,14.20
5260,68223-93-8,DTXSID00889852,"Acetic acid, 2,2'-dithiobis-, ammonium salt (1:2)",,,,,,,,17,7.02E+00,1.88,11.77,5.96E-02,2.01E+00,14.20
5261,68227-33-8,DTXSID1052402,"2,5,8,11-Tetramethyldodec-6-yne-5,8-diol",2,9.56E+00,14.03,14.03,7.20E-03,2.74E+00,16.74,8,4.66E+01,3.39,11.77,1.32E-01,1.34E+01,14.20
